Year,Zone,Sex,Age Group,Population,Hypertension Count,Prevalence Rate %
01/01/2006 12:00:00 AM,Eastern,M,40 to 49,12642,2300,18.19
01/01/2006 12:00:00 AM,Eastern,M,50 to 59,13667,4786,35.02
01/01/2006 12:00:00 AM,Eastern,M,60 to 69,9448,5139,54.39
01/01/2006 12:00:00 AM,Eastern,M,70 to 79,5434,3655,67.26
01/01/2006 12:00:00 AM,Eastern,M,80 +,2853,2084,73.05
01/01/2006 12:00:00 AM,Northern,F,20 to 29,7825,180,2.3
01/01/2006 12:00:00 AM,Northern,F,30 to 39,9646,748,7.75
01/01/2006 12:00:00 AM,Northern,F,40 to 49,12365,2202,17.81
01/01/2006 12:00:00 AM,Northern,F,50 to 59,11720,4310,36.77
01/01/2006 12:00:00 AM,Northern,F,60 to 69,8034,4627,57.59
01/01/2006 12:00:00 AM,Northern,F,70 to 79,5535,3998,72.23
01/01/2006 12:00:00 AM,Northern,F,80 +,4834,3921,81.11
01/01/2006 12:00:00 AM,Northern,M,20 to 29,7840,148,1.89
01/01/2006 12:00:00 AM,Northern,M,30 to 39,9381,688,7.33
01/01/2006 12:00:00 AM,Northern,M,40 to 49,11988,2152,17.95
01/01/2006 12:00:00 AM,Northern,M,50 to 59,11752,3962,33.71
01/01/2006 12:00:00 AM,Northern,M,60 to 69,8189,4290,52.39
01/01/2006 12:00:00 AM,Northern,M,70 to 79,4743,3189,67.24
01/01/2006 12:00:00 AM,Northern,M,80 +,2580,1896,73.49
01/01/2006 12:00:00 AM,Unknown,F,20 to 29,11597,124,1.07
01/01/2006 12:00:00 AM,Unknown,F,30 to 39,8101,358,4.42
01/01/2006 12:00:00 AM,Unknown,F,40 to 49,6850,717,10.47
01/01/2006 12:00:00 AM,Unknown,F,50 to 59,5194,1374,26.45
01/01/2006 12:00:00 AM,Unknown,F,60 to 69,3227,1497,46.39
01/01/2006 12:00:00 AM,Unknown,F,70 to 79,1786,1218,68.2
01/01/2006 12:00:00 AM,Unknown,F,80 +,1653,1252,75.74
01/01/2006 12:00:00 AM,Unknown,M,20 to 29,11045,111,1
01/01/2006 12:00:00 AM,Unknown,M,30 to 39,7523,370,4.92
01/01/2006 12:00:00 AM,Unknown,M,40 to 49,6678,755,11.31
01/01/2006 12:00:00 AM,Unknown,M,50 to 59,4806,1167,24.28
01/01/2006 12:00:00 AM,Unknown,M,60 to 69,2950,1269,43.02
01/01/2006 12:00:00 AM,Unknown,M,70 to 79,1516,894,58.97
01/01/2006 12:00:00 AM,Unknown,M,80 +,791,501,63.34
01/01/2006 12:00:00 AM,Western,F,20 to 29,9771,208,2.13
01/01/2006 12:00:00 AM,Western,F,30 to 39,11942,846,7.08
01/01/2006 12:00:00 AM,Western,F,40 to 49,16908,2783,16.46
01/01/2006 12:00:00 AM,Western,F,50 to 59,16158,5435,33.64
01/01/2006 12:00:00 AM,Western,F,60 to 69,11768,6273,53.31
01/01/2006 12:00:00 AM,Western,F,70 to 79,7823,5497,70.27
01/01/2006 12:00:00 AM,Western,F,80 +,6563,4993,76.08
01/01/2006 12:00:00 AM,Western,M,20 to 29,9683,157,1.62
01/01/2006 12:00:00 AM,Western,M,30 to 39,11610,738,6.36
01/01/2006 12:00:00 AM,Western,M,40 to 49,16279,2501,15.36
01/01/2006 12:00:00 AM,Western,M,50 to 59,15847,4959,31.29
01/01/2006 12:00:00 AM,Western,M,60 to 69,11539,5514,47.79
01/01/2006 12:00:00 AM,Western,M,70 to 79,7061,4285,60.69
01/01/2006 12:00:00 AM,Western,M,80 +,3886,2575,66.26
01/01/2007 12:00:00 AM,Central,F,20 to 29,25666,379,1.48
01/01/2007 12:00:00 AM,Central,F,30 to 39,28473,1718,6.03
01/01/2007 12:00:00 AM,Central,F,40 to 49,33352,4968,14.9
01/01/2007 12:00:00 AM,Central,F,50 to 59,27916,8857,31.73
01/01/2007 12:00:00 AM,Central,F,60 to 69,18623,9994,53.66
01/01/2007 12:00:00 AM,Central,F,70 to 79,11507,8377,72.8
01/01/2007 12:00:00 AM,Central,F,80 +,9594,7661,79.85
01/01/2007 12:00:00 AM,Central,M,20 to 29,24866,399,1.6
01/01/2007 12:00:00 AM,Central,M,30 to 39,26160,1483,5.67
01/01/2007 12:00:00 AM,Central,M,40 to 49,31446,4566,14.52
01/01/2007 12:00:00 AM,Central,M,50 to 59,26601,8283,31.14
01/01/2007 12:00:00 AM,Central,M,60 to 69,17445,8865,50.82
01/01/2007 12:00:00 AM,Central,M,70 to 79,9706,6598,67.98
01/01/2007 12:00:00 AM,Central,M,80 +,4950,3630,73.33
01/01/2007 12:00:00 AM,Eastern,F,20 to 29,8028,177,2.2
01/01/2007 12:00:00 AM,Eastern,F,30 to 39,9261,842,9.09
01/01/2007 12:00:00 AM,Eastern,F,40 to 49,12836,2618,20.4
01/01/2007 12:00:00 AM,Eastern,F,50 to 59,13590,5236,38.53
01/01/2007 12:00:00 AM,Eastern,F,60 to 69,10062,6029,59.92
01/01/2007 12:00:00 AM,Eastern,F,70 to 79,6547,4958,75.73
01/01/2007 12:00:00 AM,Eastern,F,80 +,5517,4529,82.09
01/01/2007 12:00:00 AM,Eastern,M,20 to 29,8321,162,1.95
01/01/2007 12:00:00 AM,Eastern,M,30 to 39,9088,745,8.2
01/01/2007 12:00:00 AM,Eastern,M,40 to 49,12329,2330,18.9
01/01/2007 12:00:00 AM,Eastern,M,50 to 59,13619,4898,35.96
01/01/2007 12:00:00 AM,Eastern,M,60 to 69,9963,5548,55.69
01/01/2007 12:00:00 AM,Eastern,M,70 to 79,5581,3833,68.68
01/01/2007 12:00:00 AM,Eastern,M,80 +,2894,2146,74.15
01/01/2007 12:00:00 AM,Northern,F,20 to 29,7823,175,2.24
01/01/2007 12:00:00 AM,Northern,F,30 to 39,9525,755,7.93
01/01/2007 12:00:00 AM,Northern,F,40 to 49,12133,2196,18.1
01/01/2007 12:00:00 AM,Northern,F,50 to 59,11890,4326,36.38
01/01/2007 12:00:00 AM,Northern,F,60 to 69,8603,4968,57.75
01/01/2007 12:00:00 AM,Northern,F,70 to 79,5540,4067,73.41
01/01/2007 12:00:00 AM,Northern,F,80 +,4873,4001,82.11
01/01/2007 12:00:00 AM,Northern,M,20 to 29,7757,155,2
01/01/2007 12:00:00 AM,Northern,M,30 to 39,9241,681,7.37
01/01/2007 12:00:00 AM,Northern,M,40 to 49,11782,2116,17.96
01/01/2007 12:00:00 AM,Northern,M,50 to 59,11947,4128,34.55
01/01/2007 12:00:00 AM,Northern,M,60 to 69,8615,4624,53.67
01/01/2007 12:00:00 AM,Northern,M,70 to 79,4854,3311,68.21
01/01/2007 12:00:00 AM,Northern,M,80 +,2626,1985,75.59
01/01/2007 12:00:00 AM,Unknown,F,20 to 29,10959,116,1.06
01/01/2007 12:00:00 AM,Unknown,F,30 to 39,7658,357,4.66
01/01/2007 12:00:00 AM,Unknown,F,40 to 49,6499,684,10.52
01/01/2007 12:00:00 AM,Unknown,F,50 to 59,5102,1335,26.17
01/01/2007 12:00:00 AM,Unknown,F,60 to 69,3313,1547,46.69
