Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2017 12:00:00 AM,Northern,F,50 to 59,12756,1282,10.05
01/01/2017 12:00:00 AM,Northern,F,60 to 69,12032,2081,17.3
01/01/2017 12:00:00 AM,Northern,F,70 to 79,7789,1831,23.51
01/01/2017 12:00:00 AM,Northern,F,80 +,5148,1269,24.65
01/01/2017 12:00:00 AM,Northern,M,20 to 29,8905,120,1.35
01/01/2017 12:00:00 AM,Northern,M,30 to 39,8747,217,2.48
01/01/2017 12:00:00 AM,Northern,M,40 to 49,10358,657,6.34
01/01/2017 12:00:00 AM,Northern,M,50 to 59,12396,1608,12.97
01/01/2017 12:00:00 AM,Northern,M,60 to 69,11845,2614,22.07
01/01/2017 12:00:00 AM,Northern,M,70 to 79,7359,2291,31.13
01/01/2017 12:00:00 AM,Northern,M,80 +,3460,1067,30.84
01/01/2017 12:00:00 AM,Unknown,F,20 to 29,4386,27,0.62
01/01/2017 12:00:00 AM,Unknown,F,30 to 39,3602,57,1.58
01/01/2017 12:00:00 AM,Unknown,F,40 to 49,3334,135,4.05
01/01/2017 12:00:00 AM,Unknown,F,50 to 59,3482,253,7.27
01/01/2017 12:00:00 AM,Unknown,F,60 to 69,3031,405,13.36
01/01/2017 12:00:00 AM,Unknown,F,70 to 79,1918,368,19.19
01/01/2017 12:00:00 AM,Unknown,F,80 +,1261,270,21.41
01/01/2017 12:00:00 AM,Unknown,M,20 to 29,3809,29,0.76
01/01/2017 12:00:00 AM,Unknown,M,30 to 39,3447,62,1.8
01/01/2017 12:00:00 AM,Unknown,M,40 to 49,3179,138,4.34
01/01/2017 12:00:00 AM,Unknown,M,50 to 59,3381,320,9.46
01/01/2017 12:00:00 AM,Unknown,M,60 to 69,2814,495,17.59
01/01/2017 12:00:00 AM,Unknown,M,70 to 79,1724,415,24.07
01/01/2017 12:00:00 AM,Unknown,M,80 +,951,236,24.82
01/01/2017 12:00:00 AM,Western,F,20 to 29,10805,126,1.17
