Year,Zone,Sex,Agegroup,Population,Prevalence,Crude Prevalence Rate
01/01/2002 12:00:00 AM,Unknown,F,30 to 39,9497,105,1.11
01/01/2002 12:00:00 AM,Unknown,F,40 to 49,7259,207,2.85
01/01/2002 12:00:00 AM,Unknown,F,50 to 59,4964,333,6.71
01/01/2002 12:00:00 AM,Unknown,F,60 to 69,2895,362,12.5
01/01/2002 12:00:00 AM,Unknown,F,70 to 79,2091,301,14.4
01/01/2002 12:00:00 AM,Unknown,F,80 +,1647,258,15.66
01/01/2002 12:00:00 AM,Unknown,M,20 to 29,11909,76,0.64
01/01/2002 12:00:00 AM,Unknown,M,30 to 39,8812,138,1.57
01/01/2002 12:00:00 AM,Unknown,M,40 to 49,6876,188,2.73
01/01/2002 12:00:00 AM,Unknown,M,50 to 59,4662,411,8.82
01/01/2002 12:00:00 AM,Unknown,M,60 to 69,2790,421,15.09
01/01/2002 12:00:00 AM,Unknown,M,70 to 79,1547,307,19.84
01/01/2002 12:00:00 AM,Unknown,M,80 +,808,151,18.69
01/01/2002 12:00:00 AM,Western,F,20 to 29,9945,85,0.85
01/01/2002 12:00:00 AM,Western,F,30 to 39,13432,242,1.8
01/01/2002 12:00:00 AM,Western,F,40 to 49,16952,673,3.97
01/01/2002 12:00:00 AM,Western,F,50 to 59,14674,1253,8.54
01/01/2002 12:00:00 AM,Western,F,60 to 69,9925,1442,14.53
01/01/2002 12:00:00 AM,Western,F,70 to 79,7587,1509,19.89
01/01/2002 12:00:00 AM,Western,F,80 +,6292,1199,19.06
01/01/2002 12:00:00 AM,Western,M,20 to 29,9871,65,0.66
01/01/2002 12:00:00 AM,Western,M,30 to 39,12969,212,1.63
01/01/2002 12:00:00 AM,Western,M,40 to 49,16389,671,4.09
01/01/2002 12:00:00 AM,Western,M,50 to 59,14601,1537,10.53
01/01/2002 12:00:00 AM,Western,M,60 to 69,9894,1737,17.56
01/01/2002 12:00:00 AM,Western,M,70 to 79,6480,1491,23.01
01/01/2002 12:00:00 AM,Western,M,80 +,3627,790,21.78
01/01/2003 12:00:00 AM,Central,F,20 to 29,24009,194,0.81
01/01/2003 12:00:00 AM,Central,F,30 to 39,28577,491,1.72
01/01/2003 12:00:00 AM,Central,F,40 to 49,32038,1132,3.53
01/01/2003 12:00:00 AM,Central,F,50 to 59,24468,1910,7.81
01/01/2003 12:00:00 AM,Central,F,60 to 69,14963,2105,14.07
01/01/2003 12:00:00 AM,Central,F,70 to 79,11307,2089,18.48
01/01/2003 12:00:00 AM,Central,F,80 +,8796,1428,16.23
01/01/2003 12:00:00 AM,Central,M,20 to 29,23124,167,0.72
01/01/2003 12:00:00 AM,Central,M,30 to 39,25977,441,1.7
01/01/2003 12:00:00 AM,Central,M,40 to 49,30228,1231,4.07
01/01/2003 12:00:00 AM,Central,M,50 to 59,23194,2398,10.34
01/01/2003 12:00:00 AM,Central,M,60 to 69,14068,2777,19.74
01/01/2003 12:00:00 AM,Central,M,70 to 79,8821,2147,24.34
01/01/2003 12:00:00 AM,Central,M,80 +,4392,930,21.17
01/01/2003 12:00:00 AM,Eastern,F,20 to 29,8227,110,1.34
01/01/2003 12:00:00 AM,Eastern,F,30 to 39,10105,288,2.85
01/01/2003 12:00:00 AM,Eastern,F,40 to 49,13874,621,4.48
01/01/2003 12:00:00 AM,Eastern,F,50 to 59,12510,1184,9.46
01/01/2003 12:00:00 AM,Eastern,F,60 to 69,8505,1392,16.37
01/01/2003 12:00:00 AM,Eastern,F,70 to 79,6344,1387,21.86
01/01/2003 12:00:00 AM,Eastern,F,80 +,5440,1022,18.79
01/01/2003 12:00:00 AM,Eastern,M,20 to 29,8365,92,1.1
01/01/2003 12:00:00 AM,Eastern,M,30 to 39,9881,233,2.36
01/01/2003 12:00:00 AM,Eastern,M,40 to 49,13370,678,5.07
01/01/2003 12:00:00 AM,Eastern,M,50 to 59,12903,1577,12.22
01/01/2003 12:00:00 AM,Eastern,M,60 to 69,8418,1677,19.92
01/01/2003 12:00:00 AM,Eastern,M,70 to 79,5186,1418,27.34
01/01/2003 12:00:00 AM,Eastern,M,80 +,2793,671,24.02
01/01/2003 12:00:00 AM,Northern,F,20 to 29,8056,75,0.93
01/01/2003 12:00:00 AM,Northern,F,30 to 39,10142,217,2.14
01/01/2003 12:00:00 AM,Northern,F,40 to 49,12463,501,4.02
01/01/2003 12:00:00 AM,Northern,F,50 to 59,10797,892,8.26
01/01/2003 12:00:00 AM,Northern,F,60 to 69,7121,1007,14.14
01/01/2003 12:00:00 AM,Northern,F,70 to 79,5523,991,17.94
01/01/2003 12:00:00 AM,Northern,F,80 +,4623,819,17.72
01/01/2003 12:00:00 AM,Northern,M,20 to 29,7969,69,0.87
01/01/2003 12:00:00 AM,Northern,M,30 to 39,9905,185,1.87
01/01/2003 12:00:00 AM,Northern,M,40 to 49,12166,546,4.49
01/01/2003 12:00:00 AM,Northern,M,50 to 59,10946,1141,10.42
01/01/2003 12:00:00 AM,Northern,M,60 to 69,7112,1251,17.59
01/01/2003 12:00:00 AM,Northern,M,70 to 79,4510,1037,22.99
01/01/2003 12:00:00 AM,Northern,M,80 +,2398,514,21.43
01/01/2003 12:00:00 AM,Unknown,F,20 to 29,12041,77,0.64
01/01/2003 12:00:00 AM,Unknown,F,30 to 39,9096,102,1.12
01/01/2003 12:00:00 AM,Unknown,F,40 to 49,7260,224,3.09
01/01/2003 12:00:00 AM,Unknown,F,50 to 59,5053,331,6.55
01/01/2003 12:00:00 AM,Unknown,F,60 to 69,2966,396,13.35
01/01/2003 12:00:00 AM,Unknown,F,70 to 79,2021,318,15.73
01/01/2003 12:00:00 AM,Unknown,F,80 +,1620,266,16.42
01/01/2003 12:00:00 AM,Unknown,M,20 to 29,11788,77,0.65
01/01/2003 12:00:00 AM,Unknown,M,30 to 39,8546,138,1.61
01/01/2003 12:00:00 AM,Unknown,M,40 to 49,6974,214,3.07
01/01/2003 12:00:00 AM,Unknown,M,50 to 59,4683,403,8.61
01/01/2003 12:00:00 AM,Unknown,M,60 to 69,2789,464,16.64
01/01/2003 12:00:00 AM,Unknown,M,70 to 79,1554,322,20.72
01/01/2003 12:00:00 AM,Unknown,M,80 +,803,150,18.68
01/01/2003 12:00:00 AM,Western,F,20 to 29,9884,87,0.88
01/01/2003 12:00:00 AM,Western,F,30 to 39,12881,240,1.86
01/01/2003 12:00:00 AM,Western,F,40 to 49,17201,726,4.22
01/01/2003 12:00:00 AM,Western,F,50 to 59,15074,1338,8.88
01/01/2003 12:00:00 AM,Western,F,60 to 69,10284,1571,15.28
01/01/2003 12:00:00 AM,Western,F,70 to 79,7637,1596,20.9
01/01/2003 12:00:00 AM,Western,F,80 +,6390,1245,19.48
01/01/2003 12:00:00 AM,Western,M,20 to 29,9818,73,0.74
01/01/2003 12:00:00 AM,Western,M,30 to 39,12548,206,1.64
01/01/2003 12:00:00 AM,Western,M,40 to 49,16531,710,4.29
01/01/2003 12:00:00 AM,Western,M,50 to 59,15003,1660,11.06
01/01/2003 12:00:00 AM,Western,M,60 to 69,10217,1898,18.58
01/01/2003 12:00:00 AM,Western,M,70 to 79,6603,1554,23.53
01/01/2003 12:00:00 AM,Western,M,80 +,3707,881,23.77
01/01/2004 12:00:00 AM,Central,F,20 to 29,24434,194,0.79
01/01/2004 12:00:00 AM,Central,F,30 to 39,28163,512,1.82
01/01/2004 12:00:00 AM,Central,F,40 to 49,32658,1213,3.71
01/01/2004 12:00:00 AM,Central,F,50 to 59,25516,2058,8.07
01/01/2004 12:00:00 AM,Central,F,60 to 69,15558,2268,14.58
01/01/2004 12:00:00 AM,Central,F,70 to 79,11394,2218,19.47
01/01/2004 12:00:00 AM,Central,F,80 +,8973,1490,16.61
01/01/2004 12:00:00 AM,Central,M,20 to 29,23630,179,0.76
01/01/2004 12:00:00 AM,Central,M,30 to 39,25732,460,1.79
01/01/2004 12:00:00 AM,Central,M,40 to 49,30885,1383,4.48
01/01/2004 12:00:00 AM,Central,M,50 to 59,24093,2554,10.6
01/01/2004 12:00:00 AM,Central,M,60 to 69,14630,2968,20.29
01/01/2004 12:00:00 AM,Central,M,70 to 79,9025,2299,25.47
01/01/2004 12:00:00 AM,Central,M,80 +,4542,991,21.82
01/01/2004 12:00:00 AM,Eastern,F,20 to 29,8142,103,1.27
01/01/2004 12:00:00 AM,Eastern,F,30 to 39,9770,285,2.92
01/01/2004 12:00:00 AM,Eastern,F,40 to 49,13787,644,4.67
01/01/2004 12:00:00 AM,Eastern,F,50 to 59,12906,1280,9.92
01/01/2004 12:00:00 AM,Eastern,F,60 to 69,8809,1491,16.93
01/01/2004 12:00:00 AM,Eastern,F,70 to 79,6321,1455,23.02
01/01/2004 12:00:00 AM,Eastern,F,80 +,5490,1089,19.84
01/01/2004 12:00:00 AM,Eastern,M,20 to 29,8342,99,1.19
01/01/2004 12:00:00 AM,Eastern,M,30 to 39,9667,249,2.58
01/01/2004 12:00:00 AM,Eastern,M,40 to 49,13168,674,5.12
01/01/2004 12:00:00 AM,Eastern,M,50 to 59,13366,1722,12.88
01/01/2004 12:00:00 AM,Eastern,M,60 to 69,8627,1780,20.63
01/01/2004 12:00:00 AM,Eastern,M,70 to 79,5228,1450,27.74
01/01/2004 12:00:00 AM,Eastern,M,80 +,2846,732,25.72
01/01/2004 12:00:00 AM,Northern,F,20 to 29,7978,78,0.98
01/01/2004 12:00:00 AM,Northern,F,30 to 39,9971,219,2.2
01/01/2004 12:00:00 AM,Northern,F,40 to 49,12441,545,4.38
01/01/2004 12:00:00 AM,Northern,F,50 to 59,11277,957,8.49
01/01/2004 12:00:00 AM,Northern,F,60 to 69,7298,1104,15.13
01/01/2004 12:00:00 AM,Northern,F,70 to 79,5490,1036,18.87
01/01/2004 12:00:00 AM,Northern,F,80 +,4729,859,18.16
01/01/2004 12:00:00 AM,Northern,M,20 to 29,8019,70,0.87
01/01/2004 12:00:00 AM,Northern,M,30 to 39,9594,205,2.14
01/01/2004 12:00:00 AM,Northern,M,40 to 49,12228,580,4.74
01/01/2004 12:00:00 AM,Northern,M,50 to 59,11304,1229,10.87
01/01/2004 12:00:00 AM,Northern,M,60 to 69,7432,1387,18.66
01/01/2004 12:00:00 AM,Northern,M,70 to 79,4545,1077,23.7
01/01/2004 12:00:00 AM,Northern,M,80 +,2477,549,22.16
01/01/2004 12:00:00 AM,Unknown,F,20 to 29,11999,71,0.59
01/01/2004 12:00:00 AM,Unknown,F,30 to 39,8789,110,1.25
01/01/2004 12:00:00 AM,Unknown,F,40 to 49,7237,220,3.04
01/01/2004 12:00:00 AM,Unknown,F,50 to 59,5158,354,6.86
01/01/2004 12:00:00 AM,Unknown,F,60 to 69,3033,418,13.78
01/01/2004 12:00:00 AM,Unknown,F,70 to 79,1963,325,16.56
01/01/2004 12:00:00 AM,Unknown,F,80 +,1596,267,16.73
01/01/2004 12:00:00 AM,Unknown,M,20 to 29,11699,75,0.64
01/01/2004 12:00:00 AM,Unknown,M,30 to 39,8275,140,1.69
01/01/2004 12:00:00 AM,Unknown,M,40 to 49,6954,219,3.15
01/01/2004 12:00:00 AM,Unknown,M,50 to 59,4802,441,9.18
01/01/2004 12:00:00 AM,Unknown,M,60 to 69,2810,497,17.69
01/01/2004 12:00:00 AM,Unknown,M,70 to 79,1544,334,21.63
01/01/2004 12:00:00 AM,Unknown,M,80 +,802,166,20.7
01/01/2004 12:00:00 AM,Western,F,20 to 29,9833,87,0.88
01/01/2004 12:00:00 AM,Western,F,30 to 39,12455,262,2.1
01/01/2004 12:00:00 AM,Western,F,40 to 49,17280,763,4.42
01/01/2004 12:00:00 AM,Western,F,50 to 59,15595,1462,9.37
01/01/2004 12:00:00 AM,Western,F,60 to 69,10608,1701,16.04
01/01/2004 12:00:00 AM,Western,F,70 to 79,7697,1677,21.79
01/01/2004 12:00:00 AM,Western,F,80 +,6433,1290,20.05
01/01/2004 12:00:00 AM,Western,M,20 to 29,9784,71,0.73
01/01/2004 12:00:00 AM,Western,M,30 to 39,12111,230,1.9
01/01/2004 12:00:00 AM,Western,M,40 to 49,16601,769,4.63
01/01/2004 12:00:00 AM,Western,M,50 to 59,15411,1783,11.57
01/01/2004 12:00:00 AM,Western,M,60 to 69,10560,2064,19.55
01/01/2004 12:00:00 AM,Western,M,70 to 79,6736,1649,24.48
01/01/2004 12:00:00 AM,Western,M,80 +,3746,926,24.72
01/01/2005 12:00:00 AM,Central,F,20 to 29,24753,209,0.84
01/01/2005 12:00:00 AM,Central,F,30 to 39,28195,535,1.9
01/01/2005 12:00:00 AM,Central,F,40 to 49,32938,1284,3.9
01/01/2005 12:00:00 AM,Central,F,50 to 59,26659,2239,8.4
01/01/2005 12:00:00 AM,Central,F,60 to 69,16270,2452,15.07
01/01/2005 12:00:00 AM,Central,F,70 to 79,11350,2320,20.44
01/01/2005 12:00:00 AM,Central,F,80 +,9150,1597,17.45
01/01/2005 12:00:00 AM,Central,M,20 to 29,24081,193,0.8
01/01/2005 12:00:00 AM,Central,M,30 to 39,25711,463,1.8
01/01/2005 12:00:00 AM,Central,M,40 to 49,31304,1458,4.66
01/01/2005 12:00:00 AM,Central,M,50 to 59,25057,2727,10.88
01/01/2005 12:00:00 AM,Central,M,60 to 69,15285,3203,20.96
01/01/2005 12:00:00 AM,Central,M,70 to 79,9255,2469,26.68
01/01/2005 12:00:00 AM,Central,M,80 +,4656,1061,22.79
01/01/2005 12:00:00 AM,Eastern,F,20 to 29,8113,105,1.29
01/01/2005 12:00:00 AM,Eastern,F,30 to 39,9580,282,2.94
01/01/2005 12:00:00 AM,Eastern,F,40 to 49,13574,683,5.03
01/01/2005 12:00:00 AM,Eastern,F,50 to 59,13299,1381,10.38
01/01/2005 12:00:00 AM,Eastern,F,60 to 69,9035,1625,17.99
01/01/2005 12:00:00 AM,Eastern,F,70 to 79,6373,1502,23.57
01/01/2005 12:00:00 AM,Eastern,F,80 +,5483,1153,21.03
01/01/2005 12:00:00 AM,Eastern,M,20 to 29,8310,107,1.29
01/01/2005 12:00:00 AM,Eastern,M,30 to 39,9547,247,2.59
01/01/2005 12:00:00 AM,Eastern,M,40 to 49,12926,722,5.59
01/01/2005 12:00:00 AM,Eastern,M,50 to 59,13605,1816,13.35
01/01/2005 12:00:00 AM,Eastern,M,60 to 69,8907,1944,21.83
01/01/2005 12:00:00 AM,Eastern,M,70 to 79,5336,1523,28.54
01/01/2005 12:00:00 AM,Eastern,M,80 +,2874,758,26.37
01/01/2005 12:00:00 AM,Northern,F,20 to 29,7959,77,0.97
01/01/2005 12:00:00 AM,Northern,F,30 to 39,9740,232,2.38
01/01/2005 12:00:00 AM,Northern,F,40 to 49,12434,562,4.52
01/01/2005 12:00:00 AM,Northern,F,50 to 59,11577,1032,8.91
01/01/2005 12:00:00 AM,Northern,F,60 to 69,7581,1149,15.16
01/01/2005 12:00:00 AM,Northern,F,70 to 79,5507,1101,19.99
01/01/2005 12:00:00 AM,Northern,F,80 +,4788,920,19.21
01/01/2005 12:00:00 AM,Northern,M,20 to 29,7973,80,1
01/01/2005 12:00:00 AM,Northern,M,30 to 39,9445,214,2.27
01/01/2005 12:00:00 AM,Northern,M,40 to 49,12143,577,4.75
01/01/2005 12:00:00 AM,Northern,M,50 to 59,11612,1290,11.11
01/01/2005 12:00:00 AM,Northern,M,60 to 69,7671,1477,19.25
01/01/2005 12:00:00 AM,Northern,M,70 to 79,4641,1106,23.83
01/01/2005 12:00:00 AM,Northern,M,80 +,2527,579,22.91
01/01/2005 12:00:00 AM,Unknown,F,20 to 29,11830,81,0.68
01/01/2005 12:00:00 AM,Unknown,F,30 to 39,8521,107,1.26
01/01/2005 12:00:00 AM,Unknown,F,40 to 49,7143,219,3.07
01/01/2005 12:00:00 AM,Unknown,F,50 to 59,5194,394,7.59
01/01/2005 12:00:00 AM,Unknown,F,60 to 69,3091,431,13.94
01/01/2005 12:00:00 AM,Unknown,F,70 to 79,1855,333,17.95
01/01/2005 12:00:00 AM,Unknown,F,80 +,1595,274,17.18
01/01/2005 12:00:00 AM,Unknown,M,20 to 29,11520,78,0.68
01/01/2005 12:00:00 AM,Unknown,M,30 to 39,7955,139,1.75
01/01/2005 12:00:00 AM,Unknown,M,40 to 49,6878,253,3.68
01/01/2005 12:00:00 AM,Unknown,M,50 to 59,4848,453,9.34
01/01/2005 12:00:00 AM,Unknown,M,60 to 69,2826,486,17.2
01/01/2005 12:00:00 AM,Unknown,M,70 to 79,1529,358,23.41
01/01/2005 12:00:00 AM,Unknown,M,80 +,799,169,21.15
01/01/2005 12:00:00 AM,Western,F,20 to 29,9806,90,0.92
01/01/2005 12:00:00 AM,Western,F,30 to 39,12087,269,2.23
01/01/2005 12:00:00 AM,Western,F,40 to 49,17219,779,4.52
01/01/2005 12:00:00 AM,Western,F,50 to 59,15987,1565,9.79
01/01/2005 12:00:00 AM,Western,F,60 to 69,11042,1821,16.49
01/01/2005 12:00:00 AM,Western,F,70 to 79,7757,1737,22.39
01/01/2005 12:00:00 AM,Western,F,80 +,6468,1366,21.12
01/01/2005 12:00:00 AM,Western,M,20 to 29,9726,87,0.89
01/01/2005 12:00:00 AM,Western,M,30 to 39,11861,230,1.94
01/01/2005 12:00:00 AM,Western,M,40 to 49,16500,857,5.19
01/01/2005 12:00:00 AM,Western,M,50 to 59,15692,1849,11.78
01/01/2005 12:00:00 AM,Western,M,60 to 69,10950,2249,20.54
01/01/2005 12:00:00 AM,Western,M,70 to 79,6875,1747,25.41
01/01/2005 12:00:00 AM,Western,M,80 +,3828,965,25.21
01/01/2006 12:00:00 AM,Central,F,20 to 29,25210,216,0.86
01/01/2006 12:00:00 AM,Central,F,30 to 39,28270,532,1.88
01/01/2006 12:00:00 AM,Central,F,40 to 49,33209,1356,4.08
01/01/2006 12:00:00 AM,Central,F,50 to 59,27306,2404,8.8
01/01/2006 12:00:00 AM,Central,F,60 to 69,17388,2685,15.44
01/01/2006 12:00:00 AM,Central,F,70 to 79,11409,2454,21.51
01/01/2006 12:00:00 AM,Central,F,80 +,9433,1744,18.49
01/01/2006 12:00:00 AM,Central,M,20 to 29,24563,218,0.89
01/01/2006 12:00:00 AM,Central,M,30 to 39,25865,461,1.78
01/01/2006 12:00:00 AM,Central,M,40 to 49,31540,1514,4.8
01/01/2006 12:00:00 AM,Central,M,50 to 59,25813,2969,11.5
01/01/2006 12:00:00 AM,Central,M,60 to 69,16324,3505,21.47
01/01/2006 12:00:00 AM,Central,M,70 to 79,9507,2619,27.55
01/01/2006 12:00:00 AM,Central,M,80 +,4813,1189,24.7
01/01/2006 12:00:00 AM,Eastern,F,20 to 29,8078,110,1.36
01/01/2006 12:00:00 AM,Eastern,F,30 to 39,9373,296,3.16
01/01/2006 12:00:00 AM,Eastern,F,40 to 49,13293,725,5.45
01/01/2006 12:00:00 AM,Eastern,F,50 to 59,13417,1388,10.35
01/01/2006 12:00:00 AM,Eastern,F,60 to 69,9509,1756,18.47
01/01/2006 12:00:00 AM,Eastern,F,70 to 79,6518,1604,24.61
01/01/2006 12:00:00 AM,Eastern,F,80 +,5494,1193,21.71
01/01/2006 12:00:00 AM,Eastern,M,20 to 29,8281,110,1.33
01/01/2006 12:00:00 AM,Eastern,M,30 to 39,9297,264,2.84
01/01/2006 12:00:00 AM,Eastern,M,40 to 49,12642,722,5.71
01/01/2006 12:00:00 AM,Eastern,M,50 to 59,13667,1868,13.67
01/01/2006 12:00:00 AM,Eastern,M,60 to 69,9448,2137,22.62
01/01/2006 12:00:00 AM,Eastern,M,70 to 79,5434,1568,28.86
01/01/2006 12:00:00 AM,Eastern,M,80 +,2853,788,27.62
01/01/2006 12:00:00 AM,Northern,F,20 to 29,7825,73,0.93
01/01/2006 12:00:00 AM,Northern,F,30 to 39,9646,243,2.52
01/01/2006 12:00:00 AM,Northern,F,40 to 49,12365,584,4.72
01/01/2006 12:00:00 AM,Northern,F,50 to 59,11720,1072,9.15
01/01/2006 12:00:00 AM,Northern,F,60 to 69,8034,1252,15.58
01/01/2006 12:00:00 AM,Northern,F,70 to 79,5535,1145,20.69
01/01/2006 12:00:00 AM,Northern,F,80 +,4834,972,20.11
01/01/2006 12:00:00 AM,Northern,M,20 to 29,7840,88,1.12
01/01/2006 12:00:00 AM,Northern,M,30 to 39,9381,211,2.25
01/01/2006 12:00:00 AM,Northern,M,40 to 49,11988,600,5.01
01/01/2006 12:00:00 AM,Northern,M,50 to 59,11752,1344,11.44
01/01/2006 12:00:00 AM,Northern,M,60 to 69,8189,1616,19.73
01/01/2006 12:00:00 AM,Northern,M,70 to 79,4743,1171,24.69
01/01/2006 12:00:00 AM,Northern,M,80 +,2580,634,24.57
01/01/2006 12:00:00 AM,Unknown,F,20 to 29,11597,75,0.65
01/01/2006 12:00:00 AM,Unknown,F,30 to 39,8101,109,1.35
01/01/2006 12:00:00 AM,Unknown,F,40 to 49,6850,213,3.11
01/01/2006 12:00:00 AM,Unknown,F,50 to 59,5194,406,7.82
01/01/2006 12:00:00 AM,Unknown,F,60 to 69,3227,428,13.26
01/01/2006 12:00:00 AM,Unknown,F,70 to 79,1786,360,20.16
01/01/2006 12:00:00 AM,Unknown,F,80 +,1653,298,18.03
01/01/2006 12:00:00 AM,Unknown,M,20 to 29,11045,91,0.82
01/01/2006 12:00:00 AM,Unknown,M,30 to 39,7523,141,1.87
01/01/2006 12:00:00 AM,Unknown,M,40 to 49,6678,278,4.16
01/01/2006 12:00:00 AM,Unknown,M,50 to 59,4806,461,9.59
01/01/2006 12:00:00 AM,Unknown,M,60 to 69,2950,526,17.83
01/01/2006 12:00:00 AM,Unknown,M,70 to 79,1516,353,23.28
01/01/2006 12:00:00 AM,Unknown,M,80 +,791,171,21.62
01/01/2006 12:00:00 AM,Western,F,20 to 29,9771,90,0.92
01/01/2006 12:00:00 AM,Western,F,30 to 39,11942,277,2.32
01/01/2006 12:00:00 AM,Western,F,40 to 49,16908,838,4.96
01/01/2006 12:00:00 AM,Western,F,50 to 59,16158,1619,10.02
01/01/2006 12:00:00 AM,Western,F,60 to 69,11768,2018,17.15
01/01/2006 12:00:00 AM,Western,F,70 to 79,7823,1859,23.76
01/01/2006 12:00:00 AM,Western,F,80 +,6563,1447,22.05
01/01/2006 12:00:00 AM,Western,M,20 to 29,9683,93,0.96
01/01/2006 12:00:00 AM,Western,M,30 to 39,11610,261,2.25
01/01/2006 12:00:00 AM,Western,M,40 to 49,16279,868,5.33
01/01/2006 12:00:00 AM,Western,M,50 to 59,15847,1958,12.36
01/01/2006 12:00:00 AM,Western,M,60 to 69,11539,2461,21.33
01/01/2006 12:00:00 AM,Western,M,70 to 79,7061,1864,26.4
01/01/2006 12:00:00 AM,Western,M,80 +,3886,1024,26.35
01/01/2007 12:00:00 AM,Central,F,20 to 29,25666,236,0.92
01/01/2007 12:00:00 AM,Central,F,30 to 39,28473,541,1.9
01/01/2007 12:00:00 AM,Central,F,40 to 49,33352,1383,4.15
01/01/2007 12:00:00 AM,Central,F,50 to 59,27916,2522,9.03
01/01/2007 12:00:00 AM,Central,F,60 to 69,18623,2933,15.75
01/01/2007 12:00:00 AM,Central,F,70 to 79,11507,2528,21.97
01/01/2007 12:00:00 AM,Central,F,80 +,9594,1863,19.42
01/01/2007 12:00:00 AM,Central,M,20 to 29,24866,233,0.94
01/01/2007 12:00:00 AM,Central,M,30 to 39,26160,484,1.85
01/01/2007 12:00:00 AM,Central,M,40 to 49,31446,1598,5.08
01/01/2007 12:00:00 AM,Central,M,50 to 59,26601,3096,11.64
01/01/2007 12:00:00 AM,Central,M,60 to 69,17445,3790,21.73
01/01/2007 12:00:00 AM,Central,M,70 to 79,9706,2761,28.45
01/01/2007 12:00:00 AM,Central,M,80 +,4950,1290,26.06
01/01/2007 12:00:00 AM,Eastern,F,20 to 29,8028,101,1.26
01/01/2007 12:00:00 AM,Eastern,F,30 to 39,9261,307,3.31
01/01/2007 12:00:00 AM,Eastern,F,40 to 49,12836,723,5.63
01/01/2007 12:00:00 AM,Eastern,F,50 to 59,13590,1414,10.4
01/01/2007 12:00:00 AM,Eastern,F,60 to 69,10062,1897,18.85
01/01/2007 12:00:00 AM,Eastern,F,70 to 79,6547,1664,25.42
01/01/2007 12:00:00 AM,Eastern,F,80 +,5517,1236,22.4
01/01/2007 12:00:00 AM,Eastern,M,20 to 29,8321,120,1.44
01/01/2007 12:00:00 AM,Eastern,M,30 to 39,9088,250,2.75
01/01/2007 12:00:00 AM,Eastern,M,40 to 49,12329,716,5.81
01/01/2007 12:00:00 AM,Eastern,M,50 to 59,13619,1892,13.89
01/01/2007 12:00:00 AM,Eastern,M,60 to 69,9963,2309,23.18
01/01/2007 12:00:00 AM,Eastern,M,70 to 79,5581,1634,29.28
01/01/2007 12:00:00 AM,Eastern,M,80 +,2894,848,29.3
01/01/2007 12:00:00 AM,Northern,F,20 to 29,7823,73,0.93
